empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
16,7,4c422c0fa82a3c9954a411ba87f52901,45.52156536710626,-73.53533238172531,La Ronde,2023-07-28T20:56:20.917000Z,0,True,1690577673,"['creditcard', 'key']",True,1,1,23,409
19,7,dbe6f3be853e1100918aa06b6418eb86,45.45750908083069,-73.6394852399826,U. Concordia - Campus Loyola (Sherbrooke / West Broadway),2023-07-28T20:56:20.925000Z,1,True,1690577297,"['creditcard', 'key']",True,1,1,27,373
14,4,d45cc49cea4480b9116b1363dcc5355d,45.47256100297732,-73.56998920440674,Parc Labelle (LaSalle / Henri-Duhamel),2023-07-28T20:56:20.929000Z,1,True,1690577507,"['creditcard', 'key']",True,1,1,19,708
14,1,bfbe27bd89264f5821d6d0c7f0d2e765,45.605901731906485,-73.53436946868896,des Ormeaux / de Grosbois,2023-07-28T20:56:20.932000Z,0,True,1690577520,"['creditcard', 'key']",True,1,1,15,705
4,10,3dee6dd50b00ebe97be68a34fa0c1590,45.43914465255811,-73.59173655509949,Parc Reine-Élizabeth (Penniston / Crawford),2023-07-28T20:56:20.934000Z,2,True,1690577748,"['creditcard', 'key']",True,1,1,15,707
17,5,9f8b5a5097e54b755691624a27a320a0,45.471881993586074,-73.64002168178558,Parc de la Confédération (Fielding / West Hill),2023-07-28T20:56:20.937000Z,2,True,1690577553,"['creditcard', 'key']",True,1,1,23,703
8,5,eeda0f4010f34ca2199f3585a76fef66,45.5534000891078,-73.66225451231003,Bibliothèque d'Ahuntsic (Lajeunesse / Fleury),2023-07-28T20:56:20.958000Z,1,True,1690577571,"['creditcard', 'key']",True,1,1,15,797
21,1,1f96d87b02f5ddf8831c2d5f2473b0a8,45.57414703721992,-73.57462137937546,Centre ÉPIC (St-Zotique / 40e avenue),2023-07-28T20:56:20.993000Z,0,True,1690577596,"['creditcard', 'key']",True,1,1,23,511
18,0,9575da078eee4b025a4c319fc2347b0d,45.59722114932571,-73.56279015541077,Bélanger / des Galeries d'Anjou,2023-07-28T20:56:21.005000Z,0,True,1690573154,"['creditcard', 'key']",True,1,1,19,624
23,5,8140fc3c3486abf913b0bd9211926f2b,45.55984236120471,-73.61544728279114,Cité des Arts du Cirque (Paul Boutet / des Regrattiers),2023-07-28T20:56:21.007000Z,2,True,1690577764,"['creditcard', 'key']",True,1,1,34,453
11,11,1461a02f003268b78a89d6ad0ac551dd,45.56833021674857,-73.56666326522826,Rosemont / Viau,2023-07-28T20:56:21.029000Z,1,True,1690577699,"['creditcard', 'key']",True,1,1,23,652
18,1,cebdd81cd194840f09e6c07f1f7198a4,45.43656827071224,-73.70836973190308,Parc Stoney-Point (St-Joseph / 47e avenue),2023-07-28T20:56:21.071000Z,0,True,1690577663,"['creditcard', 'key']",True,1,1,19,779
12,7,0217b73736addb107209816f03000a18,45.43805550384184,-73.67273926734924,Parc LaSalle (10e avenue / Victoria),2023-07-28T20:56:21.072000Z,2,True,1690577480,"['creditcard', 'key']",True,1,1,19,778
5,8,6866c654a6dbffa8186d1495a5ebea63,45.45682318753668,-73.546804189682,Elgar / de l'Île-des-Sœurs,2023-07-28T20:56:21.082000Z,4,True,1690577050,"['creditcard', 'key']",True,1,1,14,669
17,5,ff85c138d884da9a4540f32b12086338,45.489185716082275,-73.57190027832984,St-Jacques / des Seigneurs,2023-07-28T20:56:21.083000Z,0,True,1690576539,"['creditcard', 'key']",True,1,1,23,667
18,1,2203b1d78848ffe20d0ed9d29d7dce2e,45.52252484113786,-73.69143962860107,O'Brien / Poirier,2023-07-28T20:56:21.088000Z,1,True,1690577610,"['creditcard', 'key']",True,1,1,23,662
21,5,f6b224af771e55d8ded0206097c994c0,45.50897852206792,-73.69856357574463,Thimens / Alexis-Nihon,2023-07-28T20:56:21.089000Z,1,True,1690576482,"['creditcard', 'key']",True,1,1,27,660
10,5,ce9dbfc9842d2eff631cf5898df68683,45.490494421832885,-73.63852232694626,Parc Van Horne (de la Peltrie / de Westbury),2023-07-28T20:56:21.092000Z,1,True,1690577658,"['creditcard', 'key']",True,1,1,15,696
1,10,389a103b106275a594cb7caafbf34e27,45.531943590076395,-73.71360540390015,Hôpital Sacré-Coeur (Forbes),2023-07-28T20:56:21.094000Z,2,True,1690577533,"['creditcard', 'key']",True,1,1,13,694
12,12,567cbde732fdd0fb13d545dd1b5e963c,45.480495143306044,-73.57782661914825,Atwater / Greene,2023-07-28T20:56:21.105000Z,0,True,1690576831,"['creditcard', 'key']",True,1,1,25,548
18,5,4249917b3ff262f4cd831f8ea34cf74e,45.4912258547597,-73.58763009309769,Atwater / Sherbrooke,2023-07-28T20:56:21.111000Z,0,True,1690577210,"['creditcard', 'key']",True,1,1,23,126
9,12,3557bec6e2c20690d2c912e713edad35,45.59398503487043,-73.63767206668854,Mairie d'arrondissement Montréal-Nord (Hébert / de Charleroi),2023-07-28T20:56:21.120000Z,2,True,1690577697,"['creditcard', 'key']",True,1,1,21,776
15,3,e287c24d95d9f0e3767d167d83ecebcd,45.5457759528664,-73.56217458844185,Omer-Lavallée / du Midway,2023-07-28T20:56:21.157000Z,2,True,1690577763,"['creditcard', 'key']",True,1,1,18,385
5,14,4cb50bc7e3ed79928cef296e135b1e84,45.51758306374252,-73.72661411762238,Parc Noel-Nord (Toupin / Keller),2023-07-28T20:56:21.162000Z,0,True,1690577614,"['creditcard', 'key']",True,1,1,19,785
9,9,a44871a432bc65d33bfb1ed04dab02ca,45.51317758246596,-73.71306091547012,Parc du Bois-Franc (de l'Équateur / des Andes),2023-07-28T20:56:21.162000Z,1,True,1690577644,"['creditcard', 'key']",True,1,1,19,786
12,2,7b71605bd83572e8804e860f434f1055,45.43982382100397,-73.69487822055817,Parc Grovehill (St-Antoine / Ivan-Franko),2023-07-28T20:56:21.163000Z,0,True,1690577672,"['creditcard', 'key']",True,1,1,15,787
3,6,10a32e00bc65e9fb33eef10d6e3e75e9,45.6027276,-73.5579303,Bibliothèque Jean-Corbeil (Goncourt / Place Montrichard),2023-07-28T20:56:21.164000Z,4,True,1690577690,"['creditcard', 'key']",True,1,1,11,781
16,3,79817ddade43d27901df8f29feaebc39,45.610926628992026,-73.54673445224762,Aréna Chaumont (Chaumont / des Ormeaux),2023-07-28T20:56:21.165000Z,0,True,1690577550,"['creditcard', 'key']",True,1,1,19,782
4,15,a75f61cc35fc749366c8e6ef816fb8a0,45.502989,-73.689113,Parc Chamberland (Dorais / de l'Église),2023-07-28T20:56:21.166000Z,7,True,1690577471,"['creditcard', 'key']",True,1,1,19,783
2,12,abd3530a2acf6d587950005b613d40cb,45.43836713933041,-73.71546685695648,Parc Summerlea (53e avenue / St-Joseph),2023-07-28T20:56:21.167000Z,1,True,1690577575,"['creditcard', 'key']",True,1,1,15,788
7,8,b77888871c6837a551022c5c739042ac,45.44606092178209,-73.65079946815968,Parc Kirkland (des Érables / Boyer),2023-07-28T20:56:21.167000Z,2,True,1690577767,"['creditcard', 'key']",True,1,1,15,789
14,6,5782e71fd4ba8263a67de59b093dc320,45.49716534003792,-73.55933010578154,William / Robert-Bourassa,2023-07-28T20:56:21.177000Z,0,True,1690577007,"['creditcard', 'key']",True,1,1,21,575
9,8,d8bf2d80c73cf09dbfd6b7f76d063424,45.51366626207095,-73.53842496871948,Quai de la navette fluviale,2023-07-28T20:56:21.181000Z,1,True,1690577379,"['creditcard', 'key']",True,1,1,19,64
11,4,d0fc3a82ee0af511ffda9618f1263b84,45.43854405099729,-73.62021625041962,Lapierre / Serge,2023-07-28T20:56:21.194000Z,2,True,1690577703,"['creditcard', 'key']",True,1,1,15,732
20,6,efd89dd6cc7db7e7ea67a4ccb75372a1,45.432839840726125,-73.69349151849747,Parc St-Louis (St-Joseph / 34e avenue),2023-07-28T20:56:21.205000Z,0,True,1690574332,"['creditcard', 'key']",True,1,1,27,632
13,2,4e1cd6aa776d6e4078886c39f454b29f,45.43579350588776,-73.6801904439926,Victoria / 18e avenue Lachine,2023-07-28T20:56:21.205000Z,1,True,1690577407,"['creditcard', 'key']",True,1,1,15,633
7,11,d9fdeeb4d94f016bff5cd776466d6a30,45.45608545783109,-73.58193710446358,Métro Jolicoeur (de Sève / Drake),2023-07-28T20:56:21.213000Z,1,True,1690577732,"['creditcard', 'key']",True,1,1,19,461
9,10,ab865ab695ca69089498736e6bac9a16,45.60962627826218,-73.52273898082785,Duchesneau / de Marseille,2023-07-28T20:56:21.229000Z,2,True,1690571520,"['creditcard', 'key']",True,1,1,19,646
23,9,a0166a9345b73dbd0b09f883e665a8f8,45.55988367688166,-73.63356828689575,Papineau / Émile-Journault,2023-07-28T20:56:21.262000Z,0,True,1690577600,"['creditcard', 'key']",True,1,1,35,675
24,2,c91d47b7a498fe1a3016800f0678f419,45.44693448484644,-73.57219934463501,LaSalle / Godin,2023-07-28T20:56:21.264000Z,0,True,1690576031,"['creditcard', 'key']",True,1,1,27,670
14,5,ab65f5f1207275299c5d897fa65e1347,45.5904902,-73.5902694,Parc Delorme (Malouin / Laferté),2023-07-28T20:56:21.291000Z,0,True,1690577643,"['creditcard', 'key']",True,1,1,19,775
8,7,f95ae94bbf8d2dd56d009f8bbf21044a,45.57940569041942,-73.60258877277374,Parc Luigi-Pirandello (de Bretagne / Jean-Rivard),2023-07-28T20:56:21.292000Z,4,True,1690577751,"['creditcard', 'key']",True,1,1,15,777
6,9,b43e650c8729a68e3a7858fbfbe57cbf,45.5200557245067,-73.67795147001743,Parc Beaulac (rue Élizabeth),2023-07-28T20:56:21.300000Z,0,True,1690577748,"['creditcard', 'key']",True,1,1,15,771
12,7,5b9ad55443ed6b09dfdee5336b56b41b,45.52591381815231,-73.68911147117615,Parc St-Laurent (Dutrisac),2023-07-28T20:56:21.302000Z,1,True,1690577597,"['creditcard', 'key']",True,1,1,19,770
13,2,bfc27d829d7ce8c0f9e55b1cab901cbb,45.5616903,-73.610512,CHSLD St-Michel (8e avenue / Jarry),2023-07-28T20:56:21.304000Z,2,True,1690577632,"['creditcard', 'key']",True,1,1,15,772
11,8,cf8b3b1e14a33a9204cbf9e889a7b613,45.485047979822774,-73.5719633102417,Georges-Vanier / Notre-Dame,2023-07-28T20:56:21.317000Z,0,True,1690577749,"['creditcard', 'key']",True,1,1,19,303
10,4,ab80e2f4c922bcac89121cb2d46a0ee4,45.44527192876118,-73.62448364496231,Travaux publics LaSalle (Cordner / Léger),2023-07-28T20:56:21.341000Z,2,True,1690577618,"['creditcard', 'key']",True,1,1,15,754
22,10,ac023980748426fdbb7ea233b5043dc6,45.501863463435576,-73.5439610481262,Parc de Dieppe,2023-07-28T20:56:21.344000Z,2,True,1690576611,"['creditcard', 'key']",True,1,1,35,562
11,8,a2da7f5b772dab9f756348a7f21c1984,45.425059666150744,-73.64959917962551,Terminus Newman (Airlie / Lafleur),2023-07-28T20:56:21.362000Z,0,True,1690577547,"['creditcard', 'key']",True,1,1,19,720
3,15,4e0a2eec48ee705304b2799cff6fc240,45.44404309237571,-73.61375212669373,Newman / Senkus,2023-07-28T20:56:21.402000Z,6,True,1690577489,"['creditcard', 'key']",True,1,1,19,639
15,17,fc4597100fabd406f272f69eba793b4a,45.507837541505836,-73.56313616037369,St-Urbain / René-Lévesque,2023-07-28T20:56:21.277000Z,1,True,1690577708,"['creditcard', 'key']",True,1,1,33,58
7,12,8ae106c7b71f9c4a8f753c79cbe1603f,45.50538591756765,-73.5704317688942,de Maisonneuve / Aylmer (est),2023-07-28T20:56:20.797000Z,0,True,1690577405,"['creditcard', 'key']",True,1,1,21,106
2,16,7214c61eb7f8d875d6db8db935ad16ea,45.49276061084002,-73.55641052126883,Smith / Peel,2023-07-28T20:56:20.808000Z,1,True,1690577755,"['creditcard', 'key']",True,1,1,19,641
14,55,918f32736e8c298b4c7a5a58f6e46da5,45.49750375338383,-73.55284452438353,de la Commune / King,2023-07-28T20:56:21.280000Z,0,True,1690577745,"['creditcard', 'key']",True,1,1,71,51
47,28,0a3aa715457ea0c777ddd396228eafd1,45.50761009451047,-73.55183601379395,de la Commune / Place Jacques-Cartier,2023-07-28T20:56:20.905000Z,3,True,1690577734,"['creditcard', 'key']",True,1,1,81,25
24,12,d5193bc68b01855a79fd8c694ef2e2f9,45.50424245563397,-73.553469479084,de la Commune / St-Sulpice,2023-07-28T20:56:20.806000Z,0,True,1690577744,"['creditcard', 'key']",True,1,1,43,35
21,7,1ff33fd73e2add3c30fcd821850dccd3,45.53830765459552,-73.6548838019371,Chabanel / du Parc,2023-07-28T20:56:20.890000Z,0,True,1690577633,"['creditcard', 'key']",True,1,1,30,623
12,1,31c3024050ee6f3e44c85eceae251db1,45.48972725318433,-73.56406286358833,Ottawa / William,2023-07-28T20:56:21.345000Z,1,True,1690577741,"['creditcard', 'key']",True,1,1,15,563
35,13,3f155bd80f721e2f372821f3a7b08512,45.51086,-73.54983,de la Commune / Berri,2023-07-28T20:56:20.908000Z,3,True,1690577756,"['creditcard', 'key']",True,1,1,51,22
9,14,c3e33911cfd4f366ea6d4284fd5eb057,45.45998577640931,-73.54395568370819,Berlioz / de l'Île des Soeurs,2023-07-28T20:56:20.817000Z,1,True,1690577668,"['creditcard', 'key']",True,1,1,23,433
17,5,517a5c37755499a8e454d67bcf6b1834,45.46693565237702,-73.63153114914894,Parc Benny (Benny / de Monkland),2023-07-28T20:56:20.799000Z,2,True,1690577734,"['creditcard', 'key']",True,1,1,23,104
9,20,352adb5a53498de53161649383b7d10f,45.43605512104547,-73.60577523708344,Cégep André-Laurendeau (Lapierre),2023-07-28T20:56:20.741000Z,2,True,1690577485,"['creditcard', 'key']",True,1,1,30,719
2,11,41f8b2e49339317de23ae563e66fe4a6,45.55675103297278,-73.66716161370277,Métro Henri-Bourassa (Henri-Bourassa / Millen),2023-07-28T20:56:20.901000Z,1,True,1690577767,"['creditcard', 'key']",True,1,1,16,490
13,6,27c3a4c2a383dbf1d00a15f12f424b09,45.44338026469991,-73.71789157390594,Dixie / 54e avenue,2023-07-28T20:56:20.828000Z,1,True,1690577557,"['creditcard', 'key']",True,1,1,19,745
8,7,da5f7ede0484d9eb36444471bdba6827,45.41774583815495,-73.64518761634827,LaSalle / 90e avenue,2023-07-28T20:56:21.235000Z,0,True,1690577692,"['creditcard', 'key']",True,1,1,15,803
4,13,87bf1cff2cd651ba546aa04cfd5885c7,45.5604898518365,-73.7091851234436,Métro de la Concorde (Léo-Lacombe),2023-07-28T20:56:20.959000Z,2,True,1690577615,"['creditcard', 'key']",True,1,1,19,796
27,1,2501128835e132f929d56798aa789839,45.527831544563064,-73.5719096660614,Calixa-Lavallée / Rachel,2023-07-28T20:56:20.873000Z,0,True,1690577620,"['creditcard', 'key']",True,1,1,30,143
9,6,815c7df219d6937348c91d460fd1ff44,45.59833498124187,-73.54596734046936,Parc du Mail (Bois de Coulonges / du Mail),2023-07-28T20:56:20.961000Z,1,True,1690577687,"['creditcard', 'key']",True,1,1,15,793
5,20,00c210cb99cf9d1b923c1548938aee56,45.53519006163501,-73.61548215150833,Marché Jean-Talon (Casgrain / Shamrock),2023-07-28T20:56:20.960000Z,0,True,1690577502,"['creditcard', 'key']",True,1,1,26,794
24,0,d91563f1329dacd26318b07d7242afdf,45.497722829899764,-73.61925333738327,HEC (Decelles / Jean-Brillant),2023-07-28T20:56:21.238000Z,0,True,1690577567,"['creditcard', 'key']",True,1,1,25,807
3,14,f9bb106633ce38eeec6728faed3155ad,45.53330725719417,-73.62082242965698,Fabrik8 (Waverly / Jean-Talon),2023-07-28T20:56:21.237000Z,1,True,1690577720,"['creditcard', 'key']",True,1,1,18,801
12,7,bab144d31daa205b40397f6c7b46930a,45.5839877335556,-73.60809333622456,Parc Courbertin (Valéry / Perrier),2023-07-28T20:56:20.739000Z,6,True,1690577670,"['creditcard', 'key']",True,1,1,19,816
9,4,b8d3de5b902c4b274f7fffee62009ef9,45.57237805962001,-73.59370462596415,Parc Hébert (Colbert / Provencher),2023-07-28T20:56:20.848000Z,2,True,1690577492,"['creditcard', 'key']",True,1,1,15,815
6,8,a1ded48e42e6fb03da399602be3aab17,45.586476480180046,-73.570396900177,Parc Garibaldi (Liénart / Bélanger),2023-07-28T20:56:20.740000Z,3,True,1690577501,"['creditcard', 'key']",True,1,1,15,817
4,11,cabbcb2310a23cb9394df1d78a9b0fc2,45.60835820969716,-73.63850623369217,Parc Aimé-Léonard (Gouin / Ste-Gertrude),2023-07-28T20:56:21.333000Z,1,True,1690577618,"['creditcard', 'key']",True,1,1,17,820
7,8,33a2455e6803dd9aa77a4090dfae83f8,45.59953472156509,-73.62360253930092,Parc Charleroi (Alfred / Louis-Francoeur),2023-07-28T20:56:20.834000Z,8,True,1690577499,"['creditcard', 'key']",True,1,1,15,819
11,3,8b16cd408c6adee5f72d6e5d91bc2b9d,45.5877138098252,-73.63171823322773,Parc Maurice-Bélanger (Hébert / Denommée),2023-07-28T20:56:21.331000Z,1,True,1690577686,"['creditcard', 'key']",True,1,1,15,821
12,2,53a067639d877bfe105996a58bc1aa3a,45.583197821913785,-73.62978704273701,Gare St-Michel / Montréal-Nord (Pie-IX / 56e),2023-07-28T20:56:21.321000Z,0,True,1690577588,"['creditcard', 'key']",True,1,1,15,825
4,8,12d398be5955fed8787b107d04ba8cab,45.51401222645779,-73.56598667800426,CÉGEP du Vieux-Montréal (Ontario / de l'Hôtel-de-Ville),2023-07-28T20:56:21.334000Z,0,True,1690577670,"['creditcard', 'key']",True,1,1,15,823
9,21,a32e2261fca6732a8f47eec9fef69017,45.51689731423111,-73.58910799026489,Parc Jeanne-Mance (du Mont-Royal / du Parc),2023-07-28T20:56:21.356000Z,4,True,1690577509,"['creditcard', 'key']",True,1,1,33,220
23,11,a67e0396bba583f00ecd34b107216da0,45.472051276471305,-73.5827162861824,Léa-Roback / Sir-Georges-Etienne-Cartier,2023-07-28T20:56:21.429000Z,1,True,1690577693,"['creditcard', 'key']",True,1,1,34,478
11,7,26141dc97cf91e1003a500841cc56b6c,45.59253950875074,-73.64874824881554,Parc Eusèbe-Ménard (Gouin / St-Vital),2023-07-28T20:56:21.323000Z,2,True,1690577707,"['creditcard', 'key']",True,1,1,18,827
4,11,f332a5c6e3f7fc73096885d6efc0f829,45.51586835126322,-73.56008380651474,St-Hubert / de Maisonneuve (sud),2023-07-28T20:56:21.335000Z,1,True,1690577735,"['creditcard', 'key']",True,1,1,19,822
15,3,0243c740e1d4fe272e0c414cdd900c7d,45.55969734528566,-73.60145956277847,CHSLD Joseph-François-Perrault (St-Michel / Everett),2023-07-28T20:56:20.922000Z,1,True,1690577628,"['creditcard', 'key']",True,1,1,18,828
19,8,19f1df34d9b117ae604c95591cf3e129,45.50682415585665,-73.68184804916382,Mairie d'arrondissement St-Laurent (Beaudet / Marcel-Laurin),2023-07-28T20:56:20.921000Z,1,True,1690577719,"['creditcard', 'key']",True,1,1,27,829
3,11,efe7c56e36749af8000e9ef4ee4fc883,45.52374047147138,-73.67169924080372,Gare Montpellier (Muir / de la Côte-Vertu),2023-07-28T20:56:21.050000Z,2,True,1690577627,"['creditcard', 'key']",True,1,1,15,831
5,14,9ee74f8bb62f38529fa85da832fdfed4,45.52814371649508,-73.69254536926746,Gare du Ruisseau (Dutrisac / Henri-Bourassa),2023-07-28T20:56:21.131000Z,4,True,1690577625,"['creditcard', 'key']",True,1,1,19,833
8,9,88de0ba474d1d950ec32feacb9c50d61,45.512843286755896,-73.67612421512604,Bibliothèque du Vieux-St-Laurent (de l'Église / Filiatrault),2023-07-28T20:56:21.130000Z,1,True,1690577691,"['creditcard', 'key']",True,1,1,18,832
9,1,5628b95a789420240f43c4f870c685de,45.557568,-73.579191,CHSLD Robert Cliche (de Bellechasse / 16e avenue),2023-07-28T20:56:21.136000Z,1,True,1690577732,"['creditcard', 'key']",True,1,1,15,838
11,4,d5689456bbada11a02e0a17b675f2544,45.58116,-73.6412434,Parc Ottawa (de Belleville / Fleury),2023-07-28T20:56:21.134000Z,3,True,1690577635,"['creditcard', 'key']",True,1,1,15,837
13,4,278e51e3bb2d95cf556a62edff8f95ec,45.55463653358596,-73.61255215771962,Parc Nicolas-Tillemont (des Érables / Villeray),2023-07-28T20:56:21.136000Z,0,True,1690577698,"['creditcard', 'key']",True,1,1,18,835
8,45,b8e7cf74fce968d63f0aa677debeb6bd,45.563084167155345,-73.5481941328544,Métro Viau (Viau / Pierre-de-Coubertin),2023-07-28T20:56:21.061000Z,5,True,1690577719,"['creditcard', 'key']",True,1,1,55,329
3,10,05b2ac429b1d77afa9c0d51ebaf1e9cf,45.6391233,-73.5961118,Parc Armand-Bombardier (Perras / Armand-Bombardier),2023-07-28T20:56:21.329000Z,5,True,1690577480,"['creditcard', 'key']",True,1,1,15,841
11,14,700cf042fd8763ec6c702d94d5b6689b,45.55774990838239,-73.58380123972893,Collège de Rosemont (Beaubien / 15e avenue),2023-07-28T20:56:21.330000Z,4,True,1690577637,"['creditcard', 'key']",True,1,1,26,840
40,3,4dfba1c78f4c98769c58749cb8f10472,45.50277615861811,-73.57589408755302,McTavish / Sherbrooke,2023-07-28T20:56:21.375000Z,0,True,1690577746,"['creditcard', 'key']",True,1,1,46,608
15,6,93d7ed07d72db7e1ece88eb8b79a5ca6,45.507096455662456,-73.56844156980515,de Bleury / de Maisonneuve,2023-07-28T20:56:21.215000Z,1,True,1690577500,"['creditcard', 'key']",True,1,1,21,462
12,23,014e10dba2d92bd20c826b88864dc6b6,45.505173440423306,-73.5706517100334,de Maisonneuve / Aylmer (ouest),2023-07-28T20:56:21.184000Z,2,True,1690577704,"['creditcard', 'key']",True,1,1,37,68
17,1,82cc3be4d76f16ca475536a6e07461c5,45.54365380040509,-73.55942063033581,Préfontaine / Marcel-Pépin,2023-07-28T20:56:20.838000Z,0,True,1690577637,"['creditcard', 'key']",True,1,1,19,848
9,23,aa392581e19d48cf19a168a0dfa88f4b,45.48952522221574,-73.5844581949641,Métro Atwater (Atwater / Ste-Catherine),2023-07-28T20:56:20.944000Z,0,True,1690577480,"['creditcard', 'key']",True,1,1,35,83
14,9,6854cb59f24f653adfba864ecd063aa2,45.566883091095185,-73.53943817317486,Hochelaga / de l'Assomption,2023-07-28T20:56:21.132000Z,2,True,1690577679,"['creditcard', 'key']",True,1,1,23,830
6,12,85ae63e650e620f403ad900a2f1659ac,45.5169025120042,-73.52724552154541,Bassin olympique (Chemin du Chenal le Moyne),2023-07-28T20:56:21.161000Z,2,True,1690577601,"['creditcard', 'key']",True,1,1,19,784
11,8,ee6ad7e94cd47718c9f03d9248357f5c,45.5864002,-73.5952181,Parc Wilfrid-Bastien (Lacordaire / des Galets),2023-07-28T20:56:21.303000Z,3,True,1690577686,"['creditcard', 'key']",True,1,1,19,773
